,Title,Price,Price_Origin,Link,Image,Retailer,TimeStamp,Source
17,"Lindt Lindt Hazelnut Milk Chocolate Spread, 200g, Hazelnut, 200 Grams",5.97,0,https://www.amazon.ca/dp/B07KLMK61V/,https://m.media-amazon.com/images/I/71Ajv8NYcEL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
18,6 pcs Aluminum D-Ring Locking Carabiner Light but Strong,13.95,0,https://www.amazon.ca/dp/B01GA3N9MQ/,https://m.media-amazon.com/images/I/81qL6C4yvCL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
19,"Utopia Bedding Premium Bamboo Mattress Protector Twin 340 GSM, Fits 15 Inches Deep, Easy Care",33.99,42.99,https://www.amazon.ca/dp/B01E02DU6E/,https://m.media-amazon.com/images/I/81UMy8pnMxL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
20,Saxx Men's Underwear – Vibe Men’s Underwear – Boxer Briefs with Built-in Ballpark Pouch Support - Core,33.95,0,https://www.amazon.ca/dp/B016OE5PJQ/,https://m.media-amazon.com/images/I/91GlsJS4O+L._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
21,Women’s Full Figure Comfort Wire Free Minimizer Support Bra,29.99,40.19,https://www.amazon.ca/dp/B078PGT1GX/,https://m.media-amazon.com/images/I/91STfWx9WaL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
22,"PAARIZAAT Microfiber Full Bedsheet Set - 9000 Gold Series, [Soft Double Brushed] [Hypoallergenic] [Deep Pockets That fit up to 18 inches] [Fade, Stain, Shrink and Wrinkle Resistant] (Red)",26.99,0,https://www.amazon.ca/dp/B07KMHLR6W/,https://m.media-amazon.com/images/I/71JQDtwIhkL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
23,"Hoverboard Off Road All Terrian 6.5"" Two-Wheel G11 Flash LED Light Self Balancing Hoverboards with Bluetooth Music Speaker and UL 2272 Certified for Kids Adults Gift.",289.00,0,https://www.amazon.ca/dp/B095N14H2H/,https://m.media-amazon.com/images/I/718qVB4pnCS._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
24,Utopia Bedding Gusseted Pillow (2-Pack) Premium Quality Bed Pillows - Side Back Sleepers - Blue Gusset - Queen - 18 x 26 Inches,34.99,0,https://www.amazon.ca/dp/B01FXSVBNI/,https://m.media-amazon.com/images/I/51BQIBV9mgS._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
25,Men's Long-Sleeve T-Shirt,10.49,0,https://www.amazon.ca/dp/B00T7TWF4E/,https://m.media-amazon.com/images/I/81qp6zqycZS._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
26,"Colossal Foot File, Professional Foot Scrubber Upgraded Larger Pedicure Rasp Callus Remover Foot Files For Easy Trimming Dead Skin, Callus, Foot Corn, Cracked Heels, Light-weight & Durable",7.60,8.95,https://www.amazon.ca/dp/B07F3WJPCQ/,https://m.media-amazon.com/images/I/61oYPDKJg-L._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
27,mens Multi-pack Mesh Ventilating Comfort Fit Performance No-show Socks,19.99,0,https://www.amazon.ca/dp/B01D2GRTIE/,https://m.media-amazon.com/images/I/91VvLvJikgL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
28,Phone Charger 【5Pack】3FT 3FT 6FT 6FT 10FT Nylon Braided USB Charging & Syncing Cable Compatible with Phone12 12 Pro 12 Max Se Phone 11 Pro Max 11 Pro 11 XS MAX XR X 8 8 Plus 7 7 Plus 6s 6s Plus 6 6 Plus and More (Black),14.98,19.99,https://www.amazon.ca/dp/B07P5MDRP4/,https://m.media-amazon.com/images/I/61a8ZESYqUL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
29,"Men’s Crew T-Shirts, Multipack",31.75,0,https://www.amazon.ca/dp/B07JDFPQTC/,https://m.media-amazon.com/images/I/61CqBpL3iUL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
30,"OREO Mint Chocolate Fudge Covered Cookies, 280g",3.99,0,https://www.amazon.ca/dp/B095ZZK2XZ/,https://m.media-amazon.com/images/I/81jqFtnieUS._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
31,Winter Women Socks 5 Pairs Vintage Style Knit Wool Casual Socks Warm Socks,13.90,0,https://www.amazon.ca/dp/B088QQS9DG/,https://m.media-amazon.com/images/I/814P7X3RZOL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
32,"Apple Barrel Acrylic Paint in Assorted Colors (2 oz), 21481, Key West",0.97,0,https://www.amazon.ca/dp/B00889Z9YC/,https://m.media-amazon.com/images/I/51OqLh2hJhL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
33,AmazonBasics USB 2.0 Printer Cable - A-Male to B-Male Cord - 6 Feet (1.8 Meters),8.52,0,https://www.amazon.ca/dp/B00NH11KIK/,https://m.media-amazon.com/images/I/71bhL-Kx6+L._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
34,Duracell Coppertop AA Alkaline Batteries - 20 Count,18.99,0,https://www.amazon.ca/dp/B002UXRXEG/,https://m.media-amazon.com/images/I/71br624-J4L._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
35,"TP-Link N300 WiFi Range Extender TL-WA850RE - Covers up to 800 Sq.ft, Up to 300Mbps, Signal Booster & WiFi Repeater, Single Band 2.4Ghz only, and Compact Wall Plug Design, Extend WiFi Range Further",16.99,22.99,https://www.amazon.ca/dp/B00E98O7GC/,https://m.media-amazon.com/images/I/5162dBZuR2L._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
36,"Extra Clean Toothbrush, Full Head, Soft (6 Count)",4.77,0,https://www.amazon.ca/dp/B00CC6XSSQ/,https://m.media-amazon.com/images/I/81l2bK1kAcL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
37,AmazonBasics AAA 1.5 Volt Performance Alkaline Batteries - Pack of 36,12.40,0,https://www.amazon.ca/dp/B00LH3DMUO/,https://m.media-amazon.com/images/I/71nDX36Y9UL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
38,"Belkin Powerhouse Charge Dock for Apple Watch + iPhone Charging Dock for iPhone Xs, XS Max, XR, X, 8/8 Plus and More, Apple Watch Series 4, 3, 2, 1 (White)",129.99,0,https://www.amazon.ca/dp/B07HMBQL58/,https://m.media-amazon.com/images/I/61Ug8s83ccL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
39,"Utopia Bedding Comforter Duvet Insert - Quilted Comforter with Corner Tabs - Box Stitched Down Alternative Comforter (Queen, White)",39.99,46.99,https://www.amazon.ca/dp/B00S1TC442/,https://m.media-amazon.com/images/I/712c0JZxCWL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
40,"LED Garage Lights 60W-2 Packs LED Garage Lighting 6000LM E26/27 - Deformable LED Shop Light - Garage Ceiling Light, LED Light Bulbs, LED Work Lights, LED High Bay Light for Basement, Workshop",31.99,35.99,https://www.amazon.ca/dp/B089NTVJF6/,https://m.media-amazon.com/images/I/71iisY6xZaL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
41,BISSELL - Stick Vacuum - Featherweight White - Ultra-lightweight and compact - Versatile Lift-Off Hand Vacuum - 2.1 Amp motor in a 3lb vacuum,39.99,0,https://www.amazon.ca/dp/B085PGFW2P/,https://m.media-amazon.com/images/I/51qQxZrptqL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
42,"USB C Charger, INIU [2 Pack] 25W PD 3.0 Fast Charging Mini Wall Charger, Universal Power Adapter Plug Compatible with iPhone 12 11 Pro XR X 8 Samsung S21 S20 Note 20 iPad Airpods Google LG Switch etc.",23.98,0,https://www.amazon.ca/dp/B0965929WQ/,https://m.media-amazon.com/images/I/51QinalHfPS._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
43,"SUNNEST Window Curtain String Light 300 LED 8 Lighting Modes Fairy Lights Remote Control USB Powered Waterproof Lights for Christmas Bedroom Party Wedding Home Garden Wall Decorations,(Warm White)",23.99,0,https://www.amazon.ca/dp/B07ZGD6SQ9/,https://m.media-amazon.com/images/I/71Zum+TGEbL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
44,Women's High Waisted Cotton Underwear Stretch Briefs Soft Full Coverage Panties Multipack (Regular& Plus Size),32.99,40.99,https://www.amazon.ca/dp/B07RP7KCPB/,https://m.media-amazon.com/images/I/61dpCKpdjHL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
45,"NICETOWN Window Treatment Blackout Curtains - Kitchen/Dining Room Thermal Insulated Curtains/Rideau de Fenêtre (1 Panel, W52 x L63, Teal Blue)",25.99,0,https://www.amazon.ca/dp/B018JQRUFE/,https://m.media-amazon.com/images/I/519f6iNr8rL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
46,"Lindt Swiss Classic Milk Chocolate, Bar, 100g",1.97,0,https://www.amazon.ca/dp/B000H299LW/,https://m.media-amazon.com/images/I/71ORKwFp7XL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
47,"USB C to Lightning Cable MFi Certified, Quntis 3Pack 3FT 6FT 10FT iPhone 12 Fast Charging Cable Power Delivery Lightning to Type C Charger Cord for iPhone 13/12 Pro Max/11 Pro/X/XS/XR/8 Plus/iPad/AirPods Pro",20.99,0,https://www.amazon.ca/dp/B08QCGLZR6/,https://m.media-amazon.com/images/I/61fL+LMFubL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
48,Phone Charger 5Pack 3ft 3ft 6ft 6ft 10ft Nylon Braided Usb Charging & Syncing Cable Compatible with Phone12 12 Pro 12 Max Se Phone 11 Pro Max 11 Pro 11 XS MAX XR X 8 8 Plus 7 7 Plus 6s 6s Plus 6 6 Plus and More (Silver),16.99,0,https://www.amazon.ca/dp/B07R9KDMX1/,https://m.media-amazon.com/images/I/61Y7JeVsaWL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
